Date ,Time,Calispell Cr Temp C),Smalle Cr Temp C),Winchester Cr Temp (C)
1/11/13,5:13:31 PM,0.61,0.33,0.16
1/11/13,5:43:31 AM,0.74,0.61,0.44
1/11/13,5:43:31 PM,0.55,0.27,0.16
1/11/13,6:13:31 AM,0.72,0.55,0.44
1/11/13,6:13:31 PM,0.5,0.22,0.14
1/11/13,6:43:31 AM,0.69,0.55,0.41
1/11/13,6:43:31 PM,0.44,0.16,0.14
1/11/13,7:13:31 AM,0.66,0.55,0.38
1/11/13,7:13:31 PM,0.38,0.16,0.14
1/11/13,7:43:31 AM,0.66,0.52,0.38
1/11/13,7:43:31 PM,0.38,0.14,0.14
1/11/13,8:13:31 AM,0.63,0.5,0.36
1/11/13,8:13:31 PM,0.38,0.11,0.14
1/11/13,8:43:31 AM,0.61,0.44,0.33
1/11/13,8:43:31 PM,0.38,0.05,0.14
1/11/13,9:13:31 AM,0.55,0.38,0.3
1/11/13,9:13:31 PM,0.36,0.02,0.14
1/11/13,9:43:31 AM,0.52,0.3,0.27
1/11/13,9:43:31 PM,0.33,-0.03,0.14
1/12/09,1:11:23 AM,1.16,1.38,0.59
1/12/09,1:11:23 PM,1.48,1.63,0.78
1/12/09,10:11:23 AM,1.32,1.42,0.75
1/12/09,10:11:23 PM,1.32,1.66,0.91
1/12/09,11:11:23 AM,1.32,1.46,0.75
1/12/09,11:11:23 PM,1.32,1.63,0.9
1/12/09,12:11:23 AM,1.16,1.39,0.55
